it,one,false
it,two,false
it,three,false
it,four,false
it,five,false
it,six,false
it,seven,false
it,eight,false
it,nine,false
it,zero,false
it,1,false
you,we,false
we,you,false
so,way,false
the,got,false
that,this,false
this,that,false
ok,not,false
want,i,false
this,go,false
i am,have,false
have,i am,false
are,is,false
is,are,false
a,is,false
is,was,false
was,is,false
i,i am,false
i am,i,false
comrades,me,false
serious,of,false
of,ask,false
you,we,false
the,you ll,false
something,strike,false
of,is,false
is,of,false
is,i am,false
isn t,of,false
as,kill,false
kill,are,false
are,i,false
let s,i,false
bitch-ass,live,false
from,do,false
trying,gotta,false
being,find,false
you,you ve,false
you ve,you,false
bat,hello,false
know,done,false
back,know,false
don t,well,false
you ll,kidding,false
me,my,false
alive,you,false
a,about,false
you,hello,false
my,here,false
without,yet,false
i ve,shit s,false
back,wrong,false
hello,to,false
i am,respect,false
you re,i am,false
i ve,me,false
know,ever,false
we,of,false
begin,ain t,false
trying,hello,false
trying,hi,false
trying,greetings,false
has,up,false
working,done,false
of,don t,false
don t,of,false
i,me,false
me,i,false
find,is,false
is,find,false
got,of,false
gets,not,false
world,hello,false
not,go,false
go,not,false
kill,is,false
is,kill,false
far-reaching,serious,false
fucking,what s,false
am,we,false
have,know,false
know,have,false
the,here,false
the,hear,false
wildly,brb,false
are,hello,false
hello,are,false
being,world,false
i am,don t,false
are,where,false
gonna,you,false
i,there,false
is,was,false
was,is,false
without,was,false
me,it,false
gonna,of,false
wanna,this,false
he,you,false
she,you,false
to,done,false
can,gonna,false
the,are,false
know,hi,false
know,greetings,false
i,to,false
out,gotta,false
gonna,thing,false
without,not,false
i am,lol,false
i am,is,false
i am,yes,false
i am,no,false
i am,go,false
are,wanna,false
are,done,false
done,are,false
outside,spend,false
kill,killed,false
killed,kill,false
an,doing,false
you,your,false
you,we,false
you,us,false
you,i,false
we,you,false
of,to,false
we,everything,false
everything,way,false
to,is,false
with,ok,false
a,i am,false
don t,yes,false
i am,conflict,false
is,you,false
are,tell,false
